image_id,model,baseline_caption,grounded_caption,reference_captions
000000105156,LLaVA-1.5-7B,"The image features a horse-drawn carriage with a white horse and a red blanket on the back. The carriage is parked on a street, and there are several people around it, some of whom are standing close to the horse. The scene also includes a couple of umbrellas, one near the top left corner and another in the middle of the image.","The image features a horse-drawn carriage with a horse standing next to it. The carriage is parked on a street, and there are two people nearby, one closer to the left side of the carriage and the other further to the right. The horse is wearing a harness, and the carriage has a canopy above it. The scene also includes a bench located in the background.",A horse stands still attached to a passenger coach.  | A white horse is saddled to a cart that contains a sitting bench that is covered with a curtained tarp. | A horse is attached to a carriage that is decorated in pretty fabrics and colorful paint.  | a horse drawn carriage on a city street | A white horse hocked up to a covered cart.
000000022861,LLaVA-1.5-7B,"The image features a large pepperoni pizza with a variety of toppings, including pepperoni, cheese, and tomatoes. The pizza is placed in a black pan, and a spatula is used to serve the pizza. The pizza is cut into slices, making it easy to share and enjoy.","A pizza with pepperoni and cheese is served on a black plate. The pizza is sliced into pieces and placed on a black tray. A knife is present on the tray, likely used for cutting the pizza. The pizza is placed on a dining table, and another plate with pizza is visible in the background.","A fresh pepperoni pizza seems to have a couple of slices missing.  | A pizza is shown on a platter with a serving knife. | Hot, cheesy pizza is waiting to be eaten. | Thick crust pepperoni pizza in a pan with serving utensil on a table. | a pan pizza with pepperonis and a spatula"
000000258529,LLaVA-1.5-7B,"The image features a small wooden hut with a bench inside, surrounded by a lush green forest. The hut is situated in the middle of the scene, with a few trees nearby. The bench is positioned in the middle of the hut, providing a comfortable seating area. The overall atmosphere of the scene is serene and peaceful, with the hut serving as a cozy retreat in the midst of nature.","The image features a small wooden hut with a bench inside, surrounded by a lush green forest. The hut is situated in the middle of the scene, with a few trees nearby. The bench is positioned towards the left side of the hut, providing a comfortable seating area for visitors. The overall atmosphere of the scene is serene and peaceful, with the hut serving as a cozy retreat in the midst of nature.",A pathway leading to an outdoor open shed. | this is a small shed on a grassy lawn | Small lean-to with covered seating in a garden path. | The park has a stone rock trail leading to structures.  | A small building and a thin large tree.
000000229840,LLaVA-1.5-7B,"The image features a dog standing next to a horse in a fenced area. The dog is leaning its head over the fence to interact with the horse. The horse is positioned on the left side of the image, while the dog is on the right side. The scene captures a moment of curiosity and connection between the two animals.","A dog is standing next to a horse in a fenced area. The dog is sniffing the horse's nose, while the horse is looking at the dog. The scene is set in a grassy field, and the dog appears to be curious about the horse.",A dog touches noses with a horse through a fence. | A dog standing close to a metal fence. | A dog and a horse are getting to know each other. | A dog and a horse touching noses through a wire fence  | A horse and a dog are touches noses between a barbed wire fence.
000000209747,LLaVA-1.5-7B,"The image features a small kitten sitting in a bathroom sink. The kitten is looking at the camera, and there is a green sponge nearby. The sink is located next to a toilet, and a bottle can be seen in the background. The scene is likely set in a bathroom, with the kitten exploring the space.","A small kitten is sitting in a bathroom sink, looking at the camera. The sink is white, and there is a green sponge nearby. The kitten appears to be curious and is looking at the camera, possibly seeking attention or interaction.",A gray and white kitten sitting in a bathroom sink. | The tiny kitten looks sad sitting in the bathroom sink with a scrub brush on the rim. | A gray and white kitten in a white bathroom sink.  | A kitten sitting in a skin with a green brush with green bristles. | Kitten looking puzzled sitting in a bathroom sink
000000132210,LLaVA-1.5-7B,"The image features an old, rusty fire truck parked in a grassy field. The truck is white and has a red and yellow striped design. The truck is parked in a field, and there is a large fan on the back of the truck. The scene also includes a few trees in the background, adding to the natural setting.","The image features an old white truck with a red and white fire department logo on the side. The truck is parked in a grassy field, and it appears to be a vintage fire truck. The truck is the main focus of the scene, and it is surrounded by a lush green field.",An old fire truck with an old sign in the back of the truck bed. | The truck is hauling a sign used to promote business. | A red and white utility truck with a sign in the truck bed. | A truck is carrying a sign with an arrow on it. | A fire truck with a sign in its bed parked on the grass.
000000096459,LLaVA-1.5-7B,"The image features a large black duck swimming in a body of water, possibly a lake or a pond. The duck is the main focus of the scene, and it appears to be enjoying its time in the water. The water appears to be calm, providing a serene environment for the duck.","A duck is swimming in a body of water, surrounded by a few leaves. The duck is the main focus of the image, with its head and beak visible. The water appears to be calm, providing a serene environment for the duck.",A duck paddling through a shallow body of water. | A mallard duck wading on top of a lake. | A brown duck with a white tail floating in the water. | The duck floated on the water among the leaves and branches. | The duck is swimming in the glassy water.
000000513727,LLaVA-1.5-7B,"The image features a large hamburger on a plate, cut in half, with a knife placed on top of it. The hamburger is accompanied by a side of coleslaw. The dining table occupies the majority of the scene, with a person visible in the background. There are also two cups placed on the table, one near the top right corner and the other near the top left corner.","A large sandwich is cut in half and placed on a metal tray. The tray is sitting on a dining table. The sandwich is accompanied by a knife, which is also placed on the table. There are two cups on the table, one near the top left corner and the other near the top right corner.","Quarter of a giant burger served on a plastic plate | A family size hamburger to be cut into slices. | A huge hamburger with lettuce and tomato on a round plate. | a knife on a tray with a giant sandwich | A cheeseburger the size of a cake, with one slice missing shown on a separate plate."
000000081779,LLaVA-1.5-7B,"A person is holding a box filled with two large donuts. The donuts are covered in sugar and glaze, and they are placed on a table. The person's hand is visible, holding the box with the donuts.","A person is holding a box filled with two large donuts. The donuts are covered in sugar and glaze, and they are placed on a dining table. The person's hand is visible, holding the box with the donuts.",a person presents some big doughnuts in a box | A person is standing in front of a box of large doughnuts. | Box with two large doughnuts and someones hands beside them.  | Two hands displaying two very large glazed doughnuts | a box with some big doughnuts inside of it 
000000556462,LLaVA-1.5-7B,"The image features a person sitting at a dining table, enjoying a meal consisting of a sandwich and a side of french fries. The sandwich is placed on a plate, and the fries are spread out on the table. There are also a few chairs around the table, and a bottle can be seen on the table as well. The person is seated on the left side of the table, and a fork is visible on the right side of the table","A person is sitting at a dining table, enjoying a meal consisting of a sandwich and a side of french fries. The sandwich is placed on a white plate, and the fries are spread out on the table. There are two cups on the table, one near the person and the other further away. A fork is also visible on the table, likely used for eating the sandwich. The person is seated on a chair, which is positioned",Panini and fries are are on a lunch platter are served with dressings. | A sandwich with toothpicks and french fries are on a plate. | A grilled sandwich and french fries on a white plate. | Closeup of a table with a plate of food that includes a sandwich and fries. | This person ordered some sandwich melts with fries on the side.
