image_id,model,baseline_caption,grounded_caption,reference_captions
000000105156,Qwen3-VL-4B,"The image shows a horse standing next to a cart on a street. The cart appears to be a traditional mode of transportation, possibly used for carrying goods or passengers. The horse is harnessed to the cart, indicating that it is being used to pull it. The cart has a red and yellow cover, and there is a sign in the background with some text on it. The scene suggests a rural or semi-rural setting, with the horse and cart being a common means of transportation in that","A horse is harnessed to a cart, which is parked on a street. The cart has a red and yellow seat and is covered by a red and white canopy. There is a blue sign with white text in the background, and the scene appears to be in an outdoor market or street setting.",A horse stands still attached to a passenger coach.  | A white horse is saddled to a cart that contains a sitting bench that is covered with a curtained tarp. | A horse is attached to a carriage that is decorated in pretty fabrics and colorful paint.  | a horse drawn carriage on a city street | A white horse hocked up to a covered cart.
000000022861,Qwen3-VL-4B,"The image shows a pepperoni pizza in a pan, with one slice missing. There is a spatula in the pan, and another slice of pizza is visible in the background on a plate. The pizza appears to be freshly baked with a golden crust and melted cheese.","The image shows a pepperoni pizza in a black pan, with one slice missing. The pizza has a golden-brown crust and is topped with melted cheese and pepperoni slices. There is a spatula with a white handle and a metal blade under one of the slices. The pan is placed on a wooden table. In the background, there is a small white plate with a slice of pizza on it.","A fresh pepperoni pizza seems to have a couple of slices missing.  | A pizza is shown on a platter with a serving knife. | Hot, cheesy pizza is waiting to be eaten. | Thick crust pepperoni pizza in a pan with serving utensil on a table. | a pan pizza with pepperonis and a spatula"
000000258529,Qwen3-VL-4B,"The image depicts a serene and tranquil garden setting. There is a small wooden structure with a thatched roof, surrounded by lush greenery and trees. A stone path leads up to the structure, and the area is covered in moss and rocks, creating a peaceful and natural atmosphere.","The image depicts a serene, traditional Japanese garden setting. A small, traditional wooden structure with a thatched roof is situated on the left side of the image. The structure has a window with a wooden frame, and there is a bench inside. The garden is lush with greenery, featuring a variety of trees and shrubs. A stone path with large, flat stones leads from the structure towards the background, where more traditional Japanese garden elements can be seen, including a wooden fence and additional structures.",A pathway leading to an outdoor open shed. | this is a small shed on a grassy lawn | Small lean-to with covered seating in a garden path. | The park has a stone rock trail leading to structures.  | A small building and a thin large tree.
000000229840,Qwen3-VL-4B,"The image shows a horse and a dog standing next to each other behind a wire fence. The horse is on the left side of the image, and the dog is on the right side. The horse appears to be sniffing the dog, and the dog is looking at the horse. The background consists of green grass and some yellow flowers.","The image shows a close-up of a horse and a dog interacting through a chain-link fence. The horse, which is white, is on the left side of the image, and its head is leaning over the fence. The dog, which has a black and white coat with brown patches, is on the right side of the image, and its head is also leaning over the fence. The fence is made of metal wires and has a few yellow flowers growing near it. The background consists of green grass",A dog touches noses with a horse through a fence. | A dog standing close to a metal fence. | A dog and a horse are getting to know each other. | A dog and a horse touching noses through a wire fence  | A horse and a dog are touches noses between a barbed wire fence.
000000209747,Qwen3-VL-4B,"A small cat is sitting in a white sink. The sink is located in a bathroom, and there is a green and orange scrub brush next to it. The cat appears to be curious and is looking directly at the camera.","A small kitten with gray and white fur is sitting inside a white sink. The sink is located in a bathroom, with a green and orange scrub brush placed on the edge of the sink. The background includes tiled walls and a metal faucet.",A gray and white kitten sitting in a bathroom sink. | The tiny kitten looks sad sitting in the bathroom sink with a scrub brush on the rim. | A gray and white kitten in a white bathroom sink.  | A kitten sitting in a skin with a green brush with green bristles. | Kitten looking puzzled sitting in a bathroom sink
000000132210,Qwen3-VL-4B,"The image shows an old, white fire truck parked on the side of a road. The truck has a red and white stripe running along its side, and it features a large, rusted sign on its back. The sign appears to be a billboard or advertisement, but its content is not clear. The truck is parked on a grassy area, and there are trees and a clear blue sky in the background. The truck seems to be in a rural or semi-rural setting, as there are","The image shows an old, white utility truck parked on a grassy area. The truck has a rusted appearance and features a red and white stripe along its side. On the side of the truck, there is a logo of a fire department, specifically ""Northern Grimes County."" The truck has a large, rectangular sign on top, which appears to be a marquee or scoreboard, though the details on it are not clear. The background includes a road, trees, and a clear blue sky",An old fire truck with an old sign in the back of the truck bed. | The truck is hauling a sign used to promote business. | A red and white utility truck with a sign in the truck bed. | A truck is carrying a sign with an arrow on it. | A fire truck with a sign in its bed parked on the grass.
000000096459,Qwen3-VL-4B,"The image shows a duck swimming in a body of water, likely a pond or lake. The duck has a brown and white plumage with a distinctive white tail. The water is calm, and the duck appears to be in a natural, outdoor setting.","The image shows a duck swimming in water. The duck has a brown body with darker brown and white markings, a yellow beak, and a white tail. The water is calm, and there are some floating leaves and twigs. The duck's reflection is visible on the water's surface.",A duck paddling through a shallow body of water. | A mallard duck wading on top of a lake. | A brown duck with a white tail floating in the water. | The duck floated on the water among the leaves and branches. | The duck is swimming in the glassy water.
000000513727,Qwen3-VL-4B,"The image shows a large burger on a metal stand, with a slice cut out of it. The burger is on a black plate, and there is a knife with a wooden handle on the stand. The burger appears to be made with a sesame seed bun, and it has various ingredients such as lettuce, tomato, and possibly cheese. The setting seems to be outdoors, as there is a person in the background and a glass of water on the table.","The image shows a large burger on a metal stand with a slice taken out of it. The burger is made with a sesame seed bun, and the filling includes meat patties, lettuce, tomato, and onions. There is a knife with a wooden handle on the stand, indicating that the burger was cut. A slice of the burger is placed on a black plate next to the stand. In the background, there is a glass drink container and a person's hand holding a fork. The setting appears","Quarter of a giant burger served on a plastic plate | A family size hamburger to be cut into slices. | A huge hamburger with lettuce and tomato on a round plate. | a knife on a tray with a giant sandwich | A cheeseburger the size of a cake, with one slice missing shown on a separate plate."
000000081779,Qwen3-VL-4B,"The image shows a box containing two large doughnuts, with a person's hands reaching towards them. The doughnuts are placed on top of each other, and the person appears to be about to pick up one of the doughnuts. The box is open, and the doughnuts are resting on the lid. The person is wearing a watch on their wrist, and the box has some crumbs or residue on it.","The image shows a box containing two large, glazed donuts. A person's hands are visible, with one hand reaching into the box and the other resting on the edge of the box. The box appears to be made of cardboard and is placed on a surface, possibly a table or counter. The donuts have a shiny, sugary glaze on top. The person is wearing a watch on their wrist.",a person presents some big doughnuts in a box | A person is standing in front of a box of large doughnuts. | Box with two large doughnuts and someones hands beside them.  | Two hands displaying two very large glazed doughnuts | a box with some big doughnuts inside of it 
000000556462,Qwen3-VL-4B,"The image shows a table setting with a plate of food, including a sandwich and fries. There are also various items on the table such as a glass of water, a bottle, a fork, a knife, and a salt shaker. The person in the image is holding a toothpick, possibly to hold the sandwich together. The setting appears to be a casual dining environment, possibly in a restaurant or a cafe.","The image shows a meal on a table. There is a plate with a sandwich cut in half, a side of fries, and a small side of what appears to be a red sauce. The sandwich is held together with toothpicks. On the table, there are also two glasses, one containing a clear liquid and the other with a dark liquid, possibly a soda. There is a bottle of ketchup and a pepper shaker. A fork and knife are placed on the table, and there",Panini and fries are are on a lunch platter are served with dressings. | A sandwich with toothpicks and french fries are on a plate. | A grilled sandwich and french fries on a white plate. | Closeup of a table with a plate of food that includes a sandwich and fries. | This person ordered some sandwich melts with fries on the side.
