image_id,model,baseline_caption,grounded_caption,reference_captions
000000105156,Qwen2.5-VL-3B,"A white horse is harnessed to a cart with colorful blankets, standing on a street next to a sign with Chinese characters. The background features trees and mountains under a clear sky.","The image shows a white horse harnessed to a cart. The horse is adorned with red and black harnesses and is standing on a paved road. The cart has a colorful canopy with red and yellow fabric, and there is a blue sign with white text in the background. The setting appears to be outdoors, possibly in a rural area, with trees and mountains visible in the distance.",A horse stands still attached to a passenger coach.  | A white horse is saddled to a cart that contains a sitting bench that is covered with a curtained tarp. | A horse is attached to a carriage that is decorated in pretty fabrics and colorful paint.  | a horse drawn carriage on a city street | A white horse hocked up to a covered cart.
000000022861,Qwen2.5-VL-3B,A pepperoni pizza in a cast iron pan with a spatula.,The image shows a pepperoni pizza in a black pan with a spatula on top. The pizza is topped with melted cheese and pepperoni slices. There is another plate of pizza in the background.,"A fresh pepperoni pizza seems to have a couple of slices missing.  | A pizza is shown on a platter with a serving knife. | Hot, cheesy pizza is waiting to be eaten. | Thick crust pepperoni pizza in a pan with serving utensil on a table. | a pan pizza with pepperonis and a spatula"
000000258529,Qwen2.5-VL-3B,A small cabin sits in the woods with a stone path leading up to it.,"The image depicts a small wooden structure with a thatched roof, situated in a lush, green forested area. The structure has a simple design with a small window and a bench inside. The ground around the structure is covered with a mix of grass and rocks, leading up to a stone pathway that winds through the trees. The surrounding foliage is dense, creating a serene and secluded atmosphere.",A pathway leading to an outdoor open shed. | this is a small shed on a grassy lawn | Small lean-to with covered seating in a garden path. | The park has a stone rock trail leading to structures.  | A small building and a thin large tree.
000000229840,Qwen2.5-VL-3B,A dog is sniffing the leg of a horse through a wire fence.,A black and white dog with a brown patch on its face is sniffing the ground through a wire fence. The fence has barbed wire and is surrounded by green grass and some yellow flowers.,A dog touches noses with a horse through a fence. | A dog standing close to a metal fence. | A dog and a horse are getting to know each other. | A dog and a horse touching noses through a wire fence  | A horse and a dog are touches noses between a barbed wire fence.
000000209747,Qwen2.5-VL-3B,"A small kitten is sitting inside a white sink, looking at the camera. The kitten has gray and white fur with blue eyes. There is a green and orange scrub brush on the left side of the sink. The background features tiled walls.","A small kitten with gray and white fur is sitting inside a white sink. The kitten has large, round eyes and a pink nose. To the left of the kitten, there is a green and orange scrubbing brush. The sink is placed against a tiled wall, and a faucet is visible above the sink.",A gray and white kitten sitting in a bathroom sink. | The tiny kitten looks sad sitting in the bathroom sink with a scrub brush on the rim. | A gray and white kitten in a white bathroom sink.  | A kitten sitting in a skin with a green brush with green bristles. | Kitten looking puzzled sitting in a bathroom sink
000000132210,Qwen2.5-VL-3B,"A white fire truck with red accents is parked on the side of a road, surrounded by grass and trees. The truck has a large orange sign attached to its back, which appears to be a directional or informational sign. The scene suggests that the fire truck might be on a break or waiting for instructions.","The image shows a white fire truck with the words ""Northern Grimes County"" written on its side. The truck has a red and yellow sign attached to its back. The background features a grassy area with trees and a clear blue sky.",An old fire truck with an old sign in the back of the truck bed. | The truck is hauling a sign used to promote business. | A red and white utility truck with a sign in the truck bed. | A truck is carrying a sign with an arrow on it. | A fire truck with a sign in its bed parked on the grass.
000000096459,Qwen2.5-VL-3B,A duck is swimming in the water with its reflection visible below it.,"A duck is swimming in a body of water. The duck has brown feathers with some darker spots and a yellow beak. The water appears calm, with some small ripples around the duck. There are some floating leaves on the water surface.",A duck paddling through a shallow body of water. | A mallard duck wading on top of a lake. | A brown duck with a white tail floating in the water. | The duck floated on the water among the leaves and branches. | The duck is swimming in the glassy water.
000000513727,Qwen2.5-VL-3B,A hamburger is being cut in half with a knife.,"The image shows a large hamburger on a metal stand with a knife cutting into it. The hamburger is cut in half, revealing the layers of meat, cheese, and vegetables inside. The top bun has sesame seeds on it. There is also a smaller piece of the hamburger on a black plate next to the stand. The background includes a person wearing a red shirt and a glass of water.","Quarter of a giant burger served on a plastic plate | A family size hamburger to be cut into slices. | A huge hamburger with lettuce and tomato on a round plate. | a knife on a tray with a giant sandwich | A cheeseburger the size of a cake, with one slice missing shown on a separate plate."
000000081779,Qwen2.5-VL-3B,A person is holding a box of doughnuts with their hands.,"A person wearing gloves is holding a box containing three large, round doughnuts with powdered sugar on top. The doughnuts are stacked in the box, with the bottom one being partially cut off by the edge of the box. The person's hands are visible, with one hand resting on the doughnuts and the other hand supporting the box from below. The background includes a purple object and part of a blue surface.",a person presents some big doughnuts in a box | A person is standing in front of a box of large doughnuts. | Box with two large doughnuts and someones hands beside them.  | Two hands displaying two very large glazed doughnuts | a box with some big doughnuts inside of it 
000000556462,Qwen2.5-VL-3B,"A plate with a sandwich and french fries, a glass of water, and a bottle of hot sauce.","The image shows a plate of food on a table. The plate contains a sandwich cut in half with toothpicks holding the halves together, along with a side of French fries. There is a glass of water to the left of the plate and a bottle of hot sauce to the right. The background includes a person wearing a shirt with the text ""barclay London 4"" and part of another person's arm.",Panini and fries are are on a lunch platter are served with dressings. | A sandwich with toothpicks and french fries are on a plate. | A grilled sandwich and french fries on a white plate. | Closeup of a table with a plate of food that includes a sandwich and fries. | This person ordered some sandwich melts with fries on the side.
000000397101,Qwen2.5-VL-3B,"A woman in a red shirt and white visor is playing tennis, reaching up to hit the ball with her racket.","A woman in a red tank top and white visor is playing tennis on a blue court. She is reaching up with her right hand to hit the ball, while her left arm is extended upwards. The tennis racket is held in her right hand, positioned above her head.",A young woman gets ready to serve the ball. | The woman is playing tennis with a racquet. | A tennis player lines her racket up to hit the ball. | A woman is holding a tennis racquet preparing to serve the ball. | A female tennis player swinging at a tennis ball.
000000029125,Qwen2.5-VL-3B,A clock tower with a pointed roof and a clock face at the top.,"The image shows a tall brick clock tower against a clear blue sky. The tower has a pointed roof and is illuminated from within, casting a warm glow. There is a circular clock face at the top of the tower, which is also lit up. The tower features vertical windows and a small balcony on the upper level. In the foreground, there are some trees with dark silhouettes against the bright sky.",A large clock tower illuminated by lights and topped with a pyramid.. | A well lit church steeple with a clock on it | An illuminated clock tower behind a tree against a dusky sky. | A large clock tower sitting in the shadows. | There is a tall clock tower lit by lights
